year_month,Gross Revenue,Commission,Sales Tax Payable,Gross Revenue less Sales Tax Payable,Gross Revenue less Commission
2023-01,33300000.0,5994000.0,3330000.0,29970000.0,27306000.0
2023-02,6400000.0,1152000.0,640000.0,5760000.0,5248000.0
2023-03,16222586.0,2893754.0,1622258.6,14600327.4,13328832.0
2023-04,29400000.0,5292000.0,2940000.0,26460000.0,24108000.0
2023-05,28750000.0,5175000.0,2875000.0,25875000.0,23575000.0
2023-06,41850000.0,7533000.0,4185000.0,37665000.0,34317000.0
2023-07,49645000.0,8936100.0,4964500.0,44680500.0,40708900.0
2023-08,24742500.0,4453650.0,2474250.0,22268250.0,20288850.0
2023-09,49590000.0,8926200.0,4959000.0,44631000.0,40663800.0
2023-10,29242500.0,5263650.0,2924250.0,26318250.0,23978850.0
2023-11,87940397.0,15829272.0,8794039.7,79146357.3,72111125.0
2023-12,60615000.0,10910700.0,6061500.0,54553500.0,49704300.0
2024-01,109555000.0,19719900.0,10955500.0,98599500.0,89835100.0
2024-02,27338601.0,4920948.0,2733860.1,24604740.9,22417653.0
