date,IDR,USD
2024-02-12,,858.75
2024-02-11,,261.41
2024-02-06,,135.68
2024-01-25,,148.45
2024-01-22,,579.24
2024-01-14,,696.86
2024-01-06,,699.37
2024-01-03,,540.96
2023-12-27,11014169.5,714.64
2023-12-25,5717401.69,369.92
2023-12-16,4915082.01,317.08
2023-12-07,5963410.35,384.88
2023-12-05,3660741.28,236.43
2023-11-29,1895918.28,123.34
2023-11-27,1675930.06,108.3
2023-11-17,2533867.73,163.71
2023-11-14,18130175.41,1156.26
2023-11-13,5029821.62,320.89
2023-11-06,1055399.88,68.01
2023-11-05,8003778.66,509.66
2023-10-29,16224410.04,1019.29
2023-10-26,13476431.31,847.67
2023-10-19,24546011.71,1552.91
2023-10-16,4095926.0,260.87
2023-10-15,5619418.77,358.8
2023-10-12,5620125.38,358.88
2023-10-11,3064858.36,195.55
2023-10-09,4238810.13,270.72
2023-10-08,14134202.21,906.85
2023-10-06,8232427.28,527.96
2023-10-04,10608055.11,679.56
2023-10-02,8249499.99,532.03
2023-09-25,2812362.72,182.9
2023-09-21,5719399.3,372.5
2023-09-19,4766910.98,310.32
2023-09-17,3066222.17,200.05
2023-09-10,5680431.0,372.21
2023-09-07,5717106.37,373.62
2023-09-06,5632793.06,368.83
2023-08-24,2760524.29,180.67
2023-08-22,10832170.43,708.26
2023-08-21,35783824.43,2338.07
2023-08-20,7405169.28,485.16
2023-08-17,8338307.79,546.46
2023-08-14,2760165.49,180.48
2023-08-12,3011551.82,198.17
2023-08-11,8370251.29,550.79
2023-08-10,5923202.84,390.57
2023-08-09,28947029.71,1907.81
2023-08-06,8372144.31,552.55
2023-08-05,17006497.5,1122.97
2023-07-31,28581113.7,1897.96
2023-07-28,12228010.5,809.4
2023-07-26,9435304.58,628.12
2023-07-22,5941372.19,394.95
2023-07-19,6952886.11,463.24
2023-07-17,31556327.46,2105.58
2023-07-13,8147590.45,544.46
2023-07-12,12895777.6,863.46
2023-07-09,8087539.76,534.36
2023-07-08,3075096.32,202.82
2023-07-06,32259631.5,2123.85
2023-07-05,6399247.43,424.24
2023-07-02,17939749.5,1196.54
2023-06-28,24559821.15,1638.63
2023-06-24,13961611.7,927.97
2023-06-21,8334041.68,557.46
2023-06-18,16376695.35,1096.53
2023-06-16,5469318.54,365.56
2023-06-14,13987351.21,937.74
2023-06-12,5720812.09,384.54
2023-06-08,22006710.39,1482.78
2023-06-06,24539376.33,1649.26
2023-06-03,8863666.11,594.8
2023-06-02,10999551.41,738.13
2023-06-01,5692084.73,381.66
2023-05-30,2680101.44,178.84
2023-05-28,5704741.78,381.46
2023-05-22,20591244.56,1382.61
2023-05-18,11062879.25,741.33
2023-05-15,7459315.41,503.99
2023-05-14,9375410.45,635.62
2023-05-13,9542321.3,642.82
2023-05-13,8267478.34,556.94
2023-05-09,17883421.74,1210.3
2023-05-07,5829067.92,397.21
2023-05-04,4679187.02,318.16
2023-05-03,2220452.38,151.18
2023-05-02,6346985.1,430.07
2023-05-01,6003194.08,409.02
2023-04-28,3218355.15,219.33
2023-04-27,24620851.56,1675.58
2023-04-20,6120533.35,409.29
2023-04-16,718389.99,48.87
2023-04-15,36881781.6,2494.95
2023-04-13,3201839.09,217.42
2023-04-12,7279476.34,490.53
2023-04-10,28085979.23,1877.02
2023-04-08,3180485.56,212.87
2023-04-07,3230986.24,216.25
2023-04-05,16210809.77,1083.21
2023-04-04,6783196.8,453.27
2023-03-31,7381951.92,493.16
2023-03-29,3472153.3,230.93
2023-03-26,34143802.89,2252.97
2023-03-22,2877969.36,188.62
2023-03-19,20752320.64,1349.83
2023-03-18,9352482.17,608.33
2023-03-12,5903224.4,380.79
2023-03-11,3236317.58,208.76
2023-03-09,4599993.53,296.85
2023-03-06,4607742.2,300.1
2023-03-05,9011596.36,589.85
2023-03-02,4698960.48,306.54
2023-02-27,4575152.89,300.68
2023-02-23,5118715.72,336.37
2023-02-21,8880662.47,582.72
2023-02-19,6119035.29,403.47
2023-02-12,3167106.04,208.53
2023-02-09,4580155.9,302.42
2023-02-05,10676483.34,707.28
2023-02-04,1799792.13,119.23
2023-02-03,13431033.26,889.76
2023-02-01,3203009.4,215.14
2023-01-31,4255773.79,283.73
2023-01-30,4689077.85,312.33
2023-01-29,3168249.29,211.6
2023-01-26,3167045.07,211.77
2023-01-25,4578307.78,306.45
2023-01-24,3153982.24,210.89
2023-01-21,8824241.16,585.81
2023-01-19,3021177.45,199.47
2023-01-16,3165525.43,209.54
2023-01-13,1261327.71,83.45
2023-01-13,10224840.88,676.48
2023-01-12,4258943.9,280.09
2023-01-11,4638184.26,300.55
2023-01-10,1440490.36,92.72
2023-01-07,2885482.92,184.88
2023-01-06,1443980.53,92.52
2023-01-05,3285373.46,210.23
2023-01-04,1441337.63,92.61
2023-01-03,3839322.1,246.2
2023-01-02,5403623.29,347.41
