month,cost_less_property_tax,nightly_adjustment,host_service_fee
2023-01-31,5339.64,33.19,800.93
2023-02-28,5394.81,0.0,809.21
2023-03-31,5566.02,50.370000000000005,834.91
2023-04-30,11081.47,0.0,1662.22
2023-05-31,8746.26,25.02,1311.94
2023-06-30,9713.59,313.71000000000004,1457.0300000000002
2023-07-31,11403.75,240.33999999999997,1710.5700000000002
2023-08-31,10629.08,155.43,1594.3600000000001
2023-09-30,2066.5099999999998,16.26,309.97
2023-10-31,6454.67,25.55,968.1800000000001
2023-11-30,3596.95,116.67,539.55
2023-12-31,586.44,269.43,87.96000000000001
