year_month,Gross Revenue,Commission,Sales Tax Payable,Gross Revenue less Sales Tax Payable,Gross Revenue less Commission
2022-03,500000.0,15000.0,50000.0,450000.0,485000.0
2022-04,30141935.48,4521290.32,3014193.5480000004,27127741.932,25620645.16
2022-05,44920000.0,6738000.0,4492000.0,40428000.0,38182000.0
2022-06,67925000.0,10188750.0,6792500.0,61132500.0,57736250.0
2022-07,75340000.0,11301000.0,7534000.0,67806000.0,64039000.0
2022-08,56610780.0,8491617.0,5661078.0,50949702.0,48119163.0
2022-09,54820000.0,8223000.0,5482000.0,49338000.0,46597000.0
2022-10,74895000.0,11234250.0,7489500.0,67405500.0,63660750.0
2022-11,72924200.6,10938630.1,7292420.0600000005,65631780.54,61985570.5
2022-12,88485069.61,13389135.54,8848506.961,79636562.649,75095934.07
2023-01,79690000.0,12635349.5,7969000.0,71721000.0,67054650.5
2023-02,81600000.0,13182263.84,8160000.0,73440000.0,68417736.16
2023-03,85435000.0,12996786.94,8543500.0,76891500.0,72438213.06
2023-04,165226224.0,24930737.43,16522622.4,148703601.6,140295486.57
2023-05,129505000.0,19579304.29,12950500.0,116554500.0,109925695.71000001
2023-06,144925000.0,21846846.18,14492500.0,130432500.0,123078153.82
2023-07,171605000.0,26062609.509999998,17160500.0,154444500.0,145542390.49
2023-08,161537500.0,24825787.54,16153750.0,145383750.0,136711712.46
2023-09,31650000.0,4836665.55,3165000.0,28485000.0,26813334.45
2023-10,101365000.0,16069306.209999999,10136500.0,91228500.0,85295693.78999999
2023-11,56484838.0,8759785.64,5648483.8,50836354.2,47725052.36
2023-12,29528074.0,4429211.0,2952807.4,26575266.6,25098863.0
2024-01,39255000.0,6059803.0,3925500.0,35329500.0,33195197.0
2024-02,27302500.0,4095375.0,2730250.0,24572250.0,23207125.0
