year_month,Gross Revenue,Commission,Sales Tax Payable,Gross Revenue less Sales Tax Payable,Gross Revenue less Commission
2023-01,26960000.0,-4634180.0,2696000.0,24264000.0,31594180.0
2023-02,38500000.0,-6660500.0,3850000.0,34650000.0,45160500.0
2023-03,66145000.0,-11403985.0,6614500.0,59530500.0,77548985.0
2023-04,76225000.0,-13186925.0,7622500.0,68602500.0,89411925.0
2023-05,56600000.0,-9791800.0,5660000.0,50940000.0,66391800.0
2023-06,62300000.0,-10777900.0,6230000.0,56070000.0,73077900.0
2023-07,89145000.0,-15307973.0,8914500.0,80230500.0,104452973.0
2023-08,94350000.0,-16183216.0,9435000.0,84915000.0,110533216.0
2023-09,270420000.0,-46648708.0,27042000.0,243378000.0,317068708.0
2023-10,136800000.0,-23528400.0,13680000.0,123120000.0,160328400.0
2023-11,29195000.0,-5050735.0,2919500.0,26275500.0,34245735.0
2023-12,41137499.0,-7932713.0,4113749.9,37023749.1,49070212.0
