check_in,check_out,nights,villa_name,platform
2022-08-04,2022-08-11,7,surya,direct
2022-08-12,2022-08-13,1,jala,direct
2022-04-20,2022-04-21,1,chandra,direct
2022-04-20,2022-04-23,3,surya,direct
2022-04-27,2022-04-28,1,chandra,direct
2022-04-30,2022-05-02,2,chandra,direct
2022-05-29,2022-05-30,1,surya,direct
2022-05-29,2022-05-30,1,jala,direct
2022-11-03,2022-11-04,1,surya,direct
2022-11-17,2022-11-18,1,surya,direct
2022-11-27,2022-11-28,1,jala,direct
2022-12-01,2022-12-02,1,jala,direct
2022-09-01,2022-09-10,9,surya,direct
2022-09-03,2022-09-15,12,chandra,direct
2022-05-03,2022-05-10,7,chandra,direct
2022-07-23,2022-07-27,4,surya,direct
2022-07-27,2022-07-30,3,jala,direct
2022-06-11,2022-06-13,2,surya,direct
2022-06-26,2022-06-27,1,jala,website
2022-12-03,2022-12-05,2,jala,website
2022-11-18,2022-11-19,1,jala,direct
2022-04-25,2022-05-02,7,surya,tripadvisor
2022-12-28,2022-12-31,3,chandra,airbnb
2022-12-25,2022-12-28,3,chandra,airbnb
2022-12-24,2022-12-25,1,chandra,airbnb
2022-12-23,2022-12-27,4,surya,airbnb
2022-12-21,2022-12-22,1,surya,airbnb
2022-12-20,2022-12-24,4,chandra,airbnb
2022-12-19,2022-12-20,1,surya,airbnb
2022-12-17,2022-12-20,3,chandra,airbnb
2022-12-17,2022-12-19,2,surya,airbnb
2022-12-16,2022-12-17,1,surya,airbnb
2022-12-15,2022-12-17,2,chandra,airbnb
2022-12-09,2022-12-12,3,jala,airbnb
2022-12-08,2022-12-16,8,surya,airbnb
2022-12-08,2022-12-13,5,chandra,airbnb
2022-12-05,2022-12-08,3,surya,airbnb
2022-12-01,2022-12-05,4,surya,airbnb
2022-11-28,2022-12-01,3,surya,airbnb
2022-11-28,2022-12-01,3,chandra,airbnb
2022-11-28,2022-12-01,3,jala,airbnb
2022-11-26,2022-11-28,2,chandra,airbnb
2022-11-25,2022-11-28,3,surya,airbnb
2022-11-25,2022-11-27,2,jala,airbnb
2022-11-25,2022-11-26,1,chandra,airbnb
2022-11-24,2022-11-25,1,chandra,airbnb
2022-11-23,2022-11-25,2,surya,airbnb
2022-11-23,2022-11-25,2,jala,airbnb
