date,rate
2024-01-01,15382.315030371
2024-01-02,15446.548317859
2024-01-03,15462.695895
2024-01-04,15469.829227117
2024-01-05,15498.130693183
2024-01-06,15498.130464869
2024-01-07,15501.055642211
2024-01-08,15514.851105958
2024-01-09,15501.835911809
2024-01-10,15549.603600793
2024-01-11,15505.582858332
2024-01-12,15525.310664686
2024-01-13,15525.310544844
2024-01-14,15534.678423689
2024-01-15,15550.201018359
2024-01-16,15572.64827595
2024-01-17,15615.630404131
2024-01-18,15601.935333516
2024-01-19,15582.545233602
2024-01-20,15582.545051782
2024-01-21,15585.736871327
2024-01-22,15610.756024749
2024-01-23,15611.211021381
2024-01-24,15692.196898237
2024-01-25,15807.627585323
2024-01-26,15797.017220088
2024-01-27,15797.016498074
2024-01-28,15803.237520602
2024-01-29,15790.41596302
2024-01-30,15763.003563614
2024-01-31,15765.351608207
2024-02-01,15742.946634549
2024-02-02,15642.585057286
2024-02-03,15642.584654623
2024-02-04,15637.515818914
2024-02-05,15686.251473973
2024-02-06,15699.884479267
2024-02-07,15614.477593226
2024-02-08,15617.682202368
2024-02-09,15611.292045753
2024-02-10,15611.291415563
2024-02-11,15606.226722419
