date,amount_usd,amount_idr,description,category,is_split,rate
2024-01-01,19.19,295187.0,$19.19 Google,Amarose,False,15382.315030371
2024-01-01,845.13,13000056.0,13mm to Ira for salaries and op expenses,Amarose,False,15382.315030371
2024-01-02,32.0,494290.0,$32 gas,law firm,False,15446.548317859
2024-01-02,5.0,77233.0,$5 drinks,personal,False,15446.548317859
2024-01-02,9.0,139019.0,$9 food,personal,False,15446.548317859
2024-01-03,1453.5,22475028.0,"22,475mm Ira for salaries and op expenses",Amarose,False,15462.695895
2024-01-03,600.0,9277618.0,$600 to Suzanne partial Jan salary pd via Akasha ,Amarose,False,15462.695895
2024-01-03,2000.0,30925392.0,$2000 transfer from Akasha to Amarose OCBC,donâ€™t list as just transfer from one account to the next,False,15462.695895
2024-01-03,45.0,695821.0,$45 Whitney wire fees,Amarose,False,15462.695895
2024-01-03,25.0,386567.0,$25 OCBC wire fees,Amarose,False,15462.695895
2024-01-03,10.0,154627.0,$10 apple,personal,False,15462.695895
2024-01-03,303.87,4698649.0,$303.87 First American,personal,False,15462.695895
2024-01-03,4.1,63397.0,$4.10 Amazon,personal,False,15462.695895
2024-01-03,6.48,100198.0,$6.48 Amazon,personal,False,15462.695895
2024-01-04,969.63,15000011.0,15mm Ardana to install flooring for project,Amarose,False,15469.829227117
2024-01-04,4.47,69073.0,$8.93 Microsoft,law firm,True,15469.829227117
2024-01-04,4.47,69073.0,$8.93 Microsoft,Amarose,True,15469.829227117
2024-01-04,25.0,386746.0,$25 Walgreens,personal,False,15469.829227117
2024-01-04,11.0,170168.0,$11 dinner,personal,False,15469.829227117
2024-01-05,736.69,11417318.0,Wayan 11.417.273mm,4.399.649 earthquake insurance renewal for Akasha villa; 7.017.624 all risk insurance renewal Akasha villa - Amarose operating expense,False,15498.130693183
2024-01-05,364.33,5646434.0,Biznet: 5.646.367mm,Amarose operating expenses,False,15498.130693183
2024-01-05,729.88,11311776.0,"Ira: 11.311.700 listrik 6.811.700, groceries 3mm, 1.5mm reimburse staff, spa",Amarose operating expenses,False,15498.130693183
2024-01-05,439.52,6811738.0,Listrik,Amarose operating expenses,False,15498.130693183
2024-01-05,193.57,2999973.0,Groceries,Amarose operating expenses,False,15498.130693183
2024-01-05,96.79,1500064.0,"Reimburse staff, spa",Amarose operating expenses,False,15498.130693183
2024-01-05,129.0,1999259.0,$258 T-Mobile,law firm,True,15498.130693183
2024-01-05,129.0,1999259.0,$258 T-Mobile,Amarose,True,15498.130693183
2024-01-05,12.0,185978.0,$12 Dinner,personal,False,15498.130693183
2024-01-06,22.0,340959.0,$22 FB Ads,Amarose,False,15498.130464869
2024-01-06,4.35,67417.0,$4.35 Wheelhouse,Amarose,False,15498.130464869
2024-01-06,14.0,216974.0,$14 Apple,personal,False,15498.130464869
2024-01-06,48.0,743910.0,$48 Dillards makeup,personal,False,15498.130464869
2024-01-06,21.0,325461.0,$21 lunch,personal,False,15498.130464869
2024-01-06,54.0,836899.0,$54 Buckle,personal,False,15498.130464869
2024-01-06,12.0,185978.0,$12 Spotify,personal,False,15498.130464869
2024-01-07,22.0,341023.0,$22 lunch,personal,False,15501.055642211
2024-01-08,36.0,558535.0,$36 Walgreens,personal,False,15514.851105958
2024-01-08,7.0,108604.0,$7 lunch in cash,personal,False,15514.851105958
2024-01-08,1200.0,18617821.0,$1200 loan from Suzanne to Akasha,personal loan,False,15514.851105958
2024-01-08,2850.0,44217326.0,$2850 wire to Amarose from Akasha,donâ€™t include in excel - just fyi,False,15514.851105958
2024-01-09,83.0,1286652.0,$83 Target,personal,False,15501.835911809
2024-01-10,106.43,1654944.0,EcoBali 1.655mm,Amarose operating expenses,False,15549.603600793
2024-01-10,151.77,2359963.0,Allianz 2.360mm,Insurance operating expense,False,15549.603600793
2024-01-10,344.0,5349064.0,$344 Dr Pancratz,medical,False,15549.603600793
2024-01-10,13.0,202145.0,$13 breakfast,personal,False,15549.603600793
2024-01-10,160.0,2487937.0,$160 from Suzanne IOLTA to Akasha loan,personal loan,False,15549.603600793
2024-01-10,15.0,233244.0,$15 FB ads,Amarose operating expense,False,15549.603600793
2024-01-10,68.0,1057373.0,$68 Office Depot,Amarose op expense,False,15549.603600793
2024-01-10,1075.63,16725620.0,"16,725,600mm Unique Yoga","Amarose project expense - mats, bolsters, etc for new yoga shala",False,15549.603600793
2024-01-10,1241.11,19298769.0,Riza/Local taxes 19.298.738,Amarose op expenses,False,15549.603600793
2024-01-11,10.0,155056.0,$10 FB Ads,Amarose op expense,False,15505.582858332
2024-01-11,25.0,387640.0,$25 Walgreens,personal,False,15505.582858332
2024-01-11,22.0,341123.0,$22 Starbucks breakfast,personal,False,15505.582858332
2024-01-11,1403.0,21754333.0,$1403 AA flight to Basel,law firm,False,15505.582858332
2024-01-11,140.0,2170782.0,$140 repayment of loan to Suzanne from Akasha,Amarose,False,15505.582858332
2024-01-12,13.52,209902.0,$13.52 Wheelhouse,Amarose op expense,False,15525.310664686
2024-01-12,12.0,186304.0,$12 Apple,personal,False,15525.310664686
2024-01-12,50.0,776266.0,$50 loan from Suzanne firm PayPal account to Akasha Holdings PayPal account for FB ads,personal loan to Amarose,False,15525.310664686
2024-01-12,40.0,621012.0,$40 loan from Suzanne to Akasha,personal loan to Amarose,False,15525.310664686
2024-01-12,30.0,465759.0,$30 Hayushi,personal,False,15525.310664686
2024-01-12,11.0,170778.0,$11 Arbyâ€™s lunch,personal,False,15525.310664686
2024-01-12,193.23,2999956.0,groceries,Amarose operating expenses,False,15525.310664686
2024-01-12,78.58,1219979.0,tips other reimburse,Amarose operating expenses,False,15525.310664686
2024-01-13,64.41,999985.0,1mm partial salary to Suzanne from OCBC,Amarose op expense,False,15525.310544844
2024-01-13,20.29,315009.0,315k to Sunset Vet,personal,False,15525.310544844
2024-01-13,644.11,10000008.0,10mm Ardana for yoga shala project,Amarose project expense,False,15525.310544844
2024-01-13,13.0,201829.0,$13 FB Ads,Amarose op expenses,False,15525.310544844
2024-01-13,15.0,232880.0,$15 gas,law firm,False,15525.310544844
2024-01-14,38.37,596143.0,$76.75 Dropbox,law firm,True,15534.678423689
2024-01-14,38.37,596143.0,$76.75 Dropbox,Amarose,True,15534.678423689
