year_month,Gross Revenue,Commission,Sales Tax Payable,Gross Revenue less Sales Tax Payable,Gross Revenue less Commission
2022-04,6000000.0,0.0,600000.0,5400000.0,6000000.0
2022-05,12911649.094552,106821.1275192,1291164.9094552,11620484.1850968,12804827.9670328
2022-06,3144534.5796149997,131314.3697525,314453.4579615,2830081.1216535,3013220.2098625
2022-07,7447738.775670399,294751.3979828,744773.8775670399,6702964.898103359,7152987.377687599
2022-08,10100000.0,0.0,1010000.0,9090000.0,10100000.0
2022-09,22642535.998276,808386.301526,2264253.5998276,20378282.3984484,21834149.69675
2022-11,3170000.0,0.0,317000.0,2853000.0,3170000.0
2022-12,3019499.69132358,83578.98662974,301949.96913235803,2717549.722191222,2935920.70469384
2023-01,9851758.93930497,393241.36566297,985175.8939304971,8866583.045374472,9458517.573642
2023-02,3145000.0,0.0,314500.0,2830500.0,3145000.0
2023-03,11069439.717319999,0.0,1106943.971732,9962495.745588,11069439.717319999
2023-04,3804533.4606,134190.2596824,380453.34606,3424080.11454,3670343.2009175997
2023-05,0.0,0.0,0.0,0.0,0.0
2023-06,19864629.9863289,684560.37818436,1986462.9986328902,17878166.98769601,19180069.60814454
2023-07,10777039.1582072,354851.4360312,1077703.9158207201,9699335.24238648,10422187.722176
2023-08,43862106.056649,1027913.1726032,4386210.6056649005,39475895.4509841,42834192.8840458
2023-09,23921587.1888838,698299.8465923999,2392158.71888838,21529428.46999542,23223287.3422914
2023-10,37806067.6809502,1115453.8810704,3780606.76809502,34025460.91285518,36690613.799879804
2023-11,26623546.9914611,1020362.891859,2662354.69914611,23961192.292314988,25603184.099602096
2023-12,2500000.0,0.0,250000.0,2250000.0,2500000.0
2024-01,24611852.815938033,1628089.2740668566,2461185.2815938033,22150667.53434423,22983763.541871175
